id,company_name,ssm_no,sector,subsector,state,city,address,website,phone,email,hr_contact,linkedin_url,employees_est,demand_signal,quota_signal,compliance_pressure,levy_tier,source_url,source_date,priority_score,notes,created_at
73,Genting Malaysia Bhd,,Hospitality,,KL,,,,+603-2718 1118,career@gentingmalaysia.com,,,10000.0,,,,RM1850,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (10000+ est).,2026-07-17 00:53:52
75,AEON (M) Bhd,,Retail,,KL,,,,,,,,6000.0,,,,RM1850,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (6000+ est).,2026-07-17 00:53:52
79,Genting Plantations Bhd,,Plantation,,KL,,,,+603-2333 1888,hr@gentingplantations.com,,,8000.0,,,,RM640,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (8000+ est).,2026-07-17 00:53:52
80,PIE Industrial Bhd,,E&E,,Penang,,,,,,,,4000.0,,,,RM1850,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (4000+ est).,2026-07-17 00:53:52
81,SKP Resources Bhd,,Manufacturing,,Johor,,,,,,,,5000.0,,,,RM1850,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (5000+ est).,2026-07-17 00:53:52
82,AIC Semiconductor Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.aicsemi.com,0260617113147,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
83,Acutronic Malaysia Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.acutronic.com,011-2020,aus@acutronic.com,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
84,Align Technology Malaysia Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.aligntech.com,087-9574-76935,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
85,BE Semiconductor Malaysia Sdn Bhd,,E&E,,Penang,Batu Kawan,,https://www.besi.com,012866412-,info@proudnerds.com,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
86,Bose Systems Malaysia Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.bose.com,0897226,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
87,Bruker Malaysia Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.bruker.com,0520904242,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
88,Clover Electronics Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.clover.com.my,,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
89,Dell Global Business Center Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.dell.com,013 6 6 1,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
90,Dyson Manufacturing Sdn Bhd,,E&E,,Johor,Senai,,https://www.dyson.com,05478349583,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
91,Flextronics Technology (M) Sdn Bhd,,E&E,,Johor,Johor Bahru,,https://www.flextronics.com,026-07-09,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
92,Hewlett Packard (M) Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.hp.com,07-2026 08,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
93,Hitachi Global Storage Technologies,,E&E,,Selangor,Petaling Jaya,,https://www.hitachi.com,025-03-04,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
94,Hong Leong Group,,Manufacturing,,Kuala Lumpur,KL,,https://www.hongleong.com,024-08-26,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
95,Intel Malaysia Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.intel.com,,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:52
96,Jabil Circuit Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.jabil.com,04277 196,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
97,Keysight Technologies Malaysia,,E&E,,Penang,Bayan Lepas,,https://www.keysight.com,071960064,usa_orders@keysight.com,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
98,Lam Research Malaysia Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.lamresearch.com,025-11-04,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
99,Lattice Semiconductor Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.latticesemi.com,08767481924,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
100,Mitsumi Electric Sdn Bhd,,E&E,,Selangor,Shah Alam,,https://www.mitsumi.com,,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
101,NXP Semiconductor Sdn Bhd,,E&E,,Selangor,Petaling Jaya,,https://www.nxp.com,,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
102,Olympus Electronic Components Sdn Bhd,,E&E,,Sarawak,Kuching,,https://www.olympus.com,0241028,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
103,ON Semiconductor Malaysia Sdn Bhd,,E&E,,Selangor,Petaling Jaya,,https://www.onsemi.com,,contactsupport@onsemi.com,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
104,Osram Opto Semiconductors (M) Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.osram.com,078603491,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
105,Plexus Manufacturing Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.plexus.com,025-12-17,roger.davidson@americaneagle.com,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
106,Renesas Semiconductor KL Sdn Bhd,,E&E,,Kuala Lumpur,KL,,https://www.renesas.com,07749-075,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
107,Robert Bosch Malaysia Sdn Bhd,,E&E,,Penang,Bayan Lepas,,https://www.bosch.com.my,012-4856-4,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
108,Seagate Technology Malaysia,,E&E,,Penang,Bayan Lepas,,https://www.seagate.com,0354627 18,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
109,Siliconware Precision Industries (M),,E&E,,Penang,Bayan Lepas,,https://www.spil.com.my,,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
110,Texas Instruments Malaysia Sdn Bhd,,E&E,,Selangor,Petaling Jaya,,https://www.ti.com,026-06-30 09,,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
111,Western Digital (M) Sdn Bhd,,E&E,,Selangor,Petaling Jaya,,https://www.westerndigital.com,026-05-14-,PDL-Web-IT-Monitoring@wdc.com,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
112,Venture Electronics Services (M),,E&E,,Penang,Bayan Lepas,,https://www.venture.com.sg,,contact-us@venture.com,,,,,,Export-driven - RBA/CBP pressure likely,"RM1,850/yr",https://www.matrade.gov.my/en/directory,2026-07-17,85.0,MATRADE listed exporter. Foreign worker likely.,2026-07-17 00:53:53
278,Tradewinds Plantation Bhd,,Plantation,palm_oil,Selangor,,,www.tradewinds.com.my,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:12:05
279,Chin Teck Plantations Bhd,,Plantation,palm_oil,Perak,,,www.chinteck.com.my,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:12:05
280,Teck Guan Perdana Bhd,,Plantation,palm_oil,Sabah,,,www.teckguan.com,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:12:05
332,Sri Neringa Sdn Bhd,,Plantation,palm_oil,Sabah,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:12:59
333,Sawit Kinabalu Sdn Bhd,,Plantation,palm_oil,Sabah,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:12:59
334,Kretam Holdings Bhd,,Plantation,palm_oil,Sabah,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:12:59
335,Global Palm Resources,,Plantation,palm_oil,Sabah,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:12:59
336,Able Global Bhd,,Plantation,palm_oil,Perak,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:12:59
337,Menggatal Plantation S/B,,Plantation,palm_oil,Sabah,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:12:59
338,Rimbunan Sawit Bhd,,Plantation,palm_oil,Sarawak,,,www.rimbunan.com.my,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:12:59
417,TDM Bhd,,Plantation,palm_oil,Terengganu,,,www.tdm.com.my,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:13:36
418,NPC Resources Bhd,,Plantation,palm_oil,Sabah,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:13:36
419,Willowglen MSC Bhd,,Plantation,palm_oil,Sabah,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:13:36
420,Lim Plantation Sdn Bhd,,Plantation,palm_oil,Selangor,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:13:36
421,Bukit Katil Estate S/B,,Plantation,palm_oil,Malacca,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:13:36
422,Pertama Plantation Sdn Bhd,,Plantation,palm_oil,Perak,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:13:36
423,Mukah Plantation Sdn Bhd,,Plantation,palm_oil,Sarawak,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:13:36
501,Sabah Softwood Sdn Bhd,,Plantation,timber,Sabah,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:14:11
502,Borneo Wood Products S/B,,Plantation,timber,Sarawak,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:14:11
503,Samling Global Sdn Bhd,,Plantation,timber,Sarawak,,,www.samling.com.my,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:14:11
504,KTS Plantation Sdn Bhd,,Plantation,palm_oil,Sarawak,,,www.kts.com.my,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:14:11
505,Shin Yang Plantation S/B,,Plantation,palm_oil,Sarawak,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:14:11
506,Pulau Burung Plantation,,Plantation,palm_oil,Penang,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:14:11
507,Sungai Koyan Plantation,,Plantation,palm_oil,Pahang,,,,,,,,,,,,RM640,manual_add,2026-07-17,85.0,,2026-07-17 02:14:11
1,Inari Amertron Bhd,,Electrical & Electronics,,Penang,Bayan Lepas,,https://www.inari-amertron.com.my,,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:46
2,Unisem (M) Bhd,,Electrical & Electronics,,Perak,Ipoh,,https://www.unisemgroup.com,019-03-13,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:46
3,VS Industry Bhd,,Electrical & Electronics,,Johor,Senai,,https://www.vs-i.com,07259736-1,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:46
4,SKP Resources Bhd,,Electrical & Electronics,,Johor,Johor Bahru,,https://www.skp.com.my,,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:46
5,Greatech Technology Bhd,,Electrical & Electronics,,Penang,Bayan Lepas,,https://www.greatech.com.my,,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:46
6,Pentamaster Corp Bhd,,Electrical & Electronics,,Penang,Bayan Lepas,,https://www.pentamaster.com.my,089042565100,penta-online@pentamaster.com.my,penta-online@pentamaster.com.my,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:46
7,PIE Industrial Bhd,,Electrical & Electronics,,Penang,Bayan Lepas,,https://www.pieindustrial.com,,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:46
8,KESM Industries Bhd,,Electrical & Electronics,,Penang,Bayan Lepas,,https://www.kesm.com.my,,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:47
9,Globetronics Technology Bhd,,Electrical & Electronics,,Penang,Bayan Lepas,,https://www.globetronics.com.my,+604-6444906,corporate@globetronics.com.my,corporate@globetronics.com.my,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:47
10,Frontken Corp Bhd,,Electrical & Electronics,,Selangor,Shah Alam,,https://www.frontken.com,+60 3 7625 1381,ir@frontken.com,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:47
11,Top Glove Corp Bhd,,Rubber,,Selangor,Shah Alam,,https://www.topglove.com,+603-3362 3098,hr@topglove.com,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Rubber sector. Foreign worker likely.,2026-07-17 00:53:47
12,Hartalega Holdings Bhd,,Rubber,,Selangor,Sepang,,https://www.hartalega.com.my,+603-3326 8668,career@hartalega.com.my,human.resource@hartalega.com.my,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Rubber sector. Foreign worker likely.,2026-07-17 00:53:47
13,Kossan Rubber Industries Bhd,,Rubber,,Selangor,Klang,,https://www.kossan.com.my,+603-3321 2888,hr@kossan.com.my,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Rubber sector. Foreign worker likely.,2026-07-17 00:53:47
14,Supermax Corp Bhd,,Rubber,,Selangor,Kuala Selangor,,https://www.supermax.com.my,+603-3342 8688,hr@supermax.com.my,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Rubber sector. Foreign worker likely.,2026-07-17 00:53:47
15,Rubberex Corp Bhd,,Rubber,,Selangor,Petaling Jaya,,https://www.rubberex.com.my,,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Rubber sector. Foreign worker likely.,2026-07-17 00:53:47
23,FGV Holdings Bhd,,Plantation,,Kuala Lumpur,KL,,https://www.fgv.com.my,+603-2789 0000,hr@fgv.com.my,,,,,,,RM640/yr,https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Plantation sector. Foreign worker likely.,2026-07-17 00:53:47
24,Sime Darby Plantation Bhd,,Plantation,,Selangor,Petaling Jaya,,https://www.simedarbyplantation.com,+603-2087 7000,hr@simedarbyplantation.com,,,,,,,RM640/yr,https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Plantation sector. Foreign worker likely.,2026-07-17 00:53:47
25,IOI Corp Bhd,,Plantation,,Putrajaya,Putrajaya,,https://www.ioigroup.com,+603-8947 8888,career@ioigroup.com,,,,,,,RM640/yr,https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Plantation sector. Foreign worker likely.,2026-07-17 00:53:47
26,KL Kepong Bhd,,Plantation,,Selangor,Petaling Jaya,,https://www.klk.com.my,+603-7806 8000,hr@klk.com.my,,,,,,,RM640/yr,https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Plantation sector. Foreign worker likely.,2026-07-17 00:53:47
27,Genting Plantations Bhd,,Plantation,,Kuala Lumpur,KL,,https://www.gentingplantations.com,+603-2333 1888,hr@gentingplantations.com,,,,,,,RM640/yr,https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Plantation sector. Foreign worker likely.,2026-07-17 00:53:47
28,TSH Resources Bhd,,Plantation,,Selangor,Petaling Jaya,,https://www.tsh.com.my,,,,,,,,,RM640/yr,https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Plantation sector. Foreign worker likely.,2026-07-17 00:53:47
41,D&O Green Technologies Bhd,,Electrical & Electronics,,Penang,Bayan Lepas,,https://www.dngreen.com,,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:47
42,ATA IMS Bhd,,Electrical & Electronics,,Johor,Johor Bahru,,https://www.ata-ims.com,,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:47
43,Uchi Technologies Bhd,,Electrical & Electronics,,Penang,Bayan Lepas,,https://www.uchi.com.my,,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:47
44,Bosch Malaysia,,Electrical & Electronics,,Selangor,Shah Alam,,https://www.bosch.com.my,,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:47
45,Micron Technology Malaysia,,Electrical & Electronics,,Penang,Batu Kawan,,https://www.micron.com,,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Electrical & Electronics sector. Foreign worker likely.,2026-07-17 00:53:47
46,Careplus Group Bhd,,Rubber,,Negeri Sembilan,Seremban,,https://www.careplusgroup.com,,,,,,,,,"RM1,850/yr",https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Rubber sector. Foreign worker likely.,2026-07-17 00:53:47
47,Hap Seng Plantations Bhd,,Plantation,,Sabah,Tawau,,https://www.hapsengplantations.com.my,,,,,,,,,RM640/yr,https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Plantation sector. Foreign worker likely.,2026-07-17 00:53:47
48,United Plantations Bhd,,Plantation,,Perak,Teluk Intan,,https://www.unitedplantations.com,,,,,,,,,RM640/yr,https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Plantation sector. Foreign worker likely.,2026-07-17 00:53:47
49,Ta Ann Holdings Bhd,,Plantation,,Sarawak,Sibu,,https://www.taann.com.my,,,,,,,,,RM640/yr,https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Plantation sector. Foreign worker likely.,2026-07-17 00:53:47
50,Sarawak Oil Palms Bhd,,Plantation,,Sarawak,Miri,,https://www.sop.com.my,,,,,,,,,RM640/yr,https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Plantation sector. Foreign worker likely.,2026-07-17 00:53:47
57,Kim Loong Resources Bhd,,Plantation,,Johor,Muar,,https://www.kimloong.com.my,,,,,,,,,RM640/yr,https://www.fmm.org.my/members-directory,2026-07-17,80.0,FMM member - Plantation sector. Foreign worker likely.,2026-07-17 00:53:47
178,Advanced Interconnect Technologies Sdn Bhd,,E&E,,Penang,Bayan Lepas,,,,,,,,,,MNC - strict RBA/CBP compliance likely,"RM1,850/yr",Penang Free Industrial Zone,2026-07-17,80.0,E&E MNC in industrial zone. Foreign worker demand likely.,2026-07-17 00:53:54
179,Advanced Micro Devices (M) Sdn Bhd,,E&E,,Penang,Bayan Lepas,,,,,,,,,,MNC - strict RBA/CBP compliance likely,"RM1,850/yr",Penang Free Industrial Zone,2026-07-17,80.0,E&E MNC in industrial zone. Foreign worker demand likely.,2026-07-17 00:53:54
180,Agilent Technologies Malaysia,,E&E,,Penang,Bayan Lepas,,,,,,,,,,MNC - strict RBA/CBP compliance likely,"RM1,850/yr",Penang Free Industrial Zone,2026-07-17,80.0,E&E MNC in industrial zone. Foreign worker demand likely.,2026-07-17 00:53:54
